"year","f_A","m_M","m_F","sr_A","int_mig","iim_M","iim_F","iom_M","iom_F","idm_M","idm_F","odm_M","odm_F"
NA,"fertility","mortality","mortality","sex ratio at birth","internal migration change","net international in-migrants","net international in-migrants","net international out-migrants","net international out-migrants","domestic in-migration","domestic in-migration","domestic out-migration","domestic out-migration"
NA,"Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
NA,NA,"male","female",NA,"Total","male","female","male","female","male","female","male","female"
2020,"1.93387771701844","66.47874007","74.90851642","103.80620797454","1","8343.20752324088","7560.09931140811","3237.67668886924","1793.88295947961","1","1","1","1"
2021,"1.93393841203687","63.91091843","72.39755901","103.800656771081","1.03713729","8343.20752324088","7560.09931140811","3237.67668886924","1793.88295947961","1.03713729","1.03713729","1.03713729","1.03713729"
2022,"1.93399910705531","73.14822543","79.33083634","103.795993828493","1.03713729","8343.20752324088","7560.09931140811","3237.67668886924","1793.88295947961","1.03713729","1.03713729","1.03713729","1.03713729"
2023,"1.93405980207375","73.39569981","79.59693244","103.792172042922","1.03713729","8343.20752324088","7560.09931140811","3237.67668886924","1793.88295947961","1.03713729","1.03713729","1.03713729","1.03713729"
2024,"1.93412049709219","73.67556685","79.89893671","103.789146773414","1.03713729","8343.20752324088","7560.09931140811","3237.67668886924","1793.88295947961","1.03713729","1.03713729","1.03713729","1.03713729"
2025,"1.93418119211062","73.9375418","80.18027164","103.786880492371","1.03713729","8525.91843404597","7590.42233339244","3202.62827734413","1668.62093884245","1.03713729","1.03713729","1.03713729","1.03713729"
2026,"1.93424188712906","74.21530555","80.47865741","103.785341491318","1.06961038","8525.91843404597","7590.42233339244","3202.62827734413","1668.62093884245","1.06961038","1.06961038","1.06961038","1.06961038"
2027,"1.9343025821475","74.48195762","80.76402101","103.784503133191","1.06961038","8525.91843404597","7590.42233339244","3202.62827734413","1668.62093884245","1.06961038","1.06961038","1.06961038","1.06961038"
2028,"1.93436327716594","74.75626213","81.05725203","103.78434428218","1.06961038","8525.91843404597","7590.42233339244","3202.62827734413","1668.62093884245","1.06961038","1.06961038","1.06961038","1.06961038"
2029,"1.93442397218437","75.02371552","81.34224485","103.784850546147","1.06961038","8525.91843404597","7590.42233339244","3202.62827734413","1668.62093884245","1.06961038","1.06961038","1.06961038","1.06961038"
2030,"1.93448466720281","75.29471163","81.63049011","103.786016688787","1.06961038","8534.49862970191","7655.66422459613","3156.04806065424","1680.76180011846","1.06961038","1.06961038","1.06961038","1.06961038"
2031,"1.93454536222125","75.56137972","81.91331861","103.787849437244","1.09856054","8534.49862970191","7655.66422459613","3156.04806065424","1680.76180011846","1.09856054","1.09856054","1.09856054","1.09856054"
2032,"1.93460605723969","75.8294709","82.19703895","103.790371027397","1.09856054","8534.49862970191","7655.66422459613","3156.04806065424","1680.76180011846","1.09856054","1.09856054","1.09856054","1.09856054"
2033,"1.93466675225812","76.09469995","82.4769684","103.793623523893","1.09856054","8534.49862970191","7655.66422459613","3156.04806065424","1680.76180011846","1.09856054","1.09856054","1.09856054","1.09856054"
2034,"1.93472744727656","76.36023186","82.75656109","103.797674221449","1.09856054","8534.49862970191","7655.66422459613","3156.04806065424","1680.76180011846","1.09856054","1.09856054","1.09856054","1.09856054"
2035,"1.934788142295","76.62373759","83.03328603","103.802620701311","1.09856054","8384.13413736916","7598.58850824824","3103.85105276377","1719.17774426215","1.09856054","1.09856054","1.09856054","1.09856054"
2036,"1.93484883731344","76.88696163","83.30903584","103.80858519899","1.12474611","8384.13413736916","7598.58850824824","3103.85105276377","1719.17774426215","1.12474611","1.12474611","1.12474611","1.12474611"
2037,"1.93490953233187","77.1486393","83.58244878","103.815626728774","1.12474611","8384.13413736916","7598.58850824824","3103.85105276377","1719.17774426215","1.12474611","1.12474611","1.12474611","1.12474611"
2038,"1.93497022735031","77.40973236","83.85456453","103.823246938583","1.12474611","8384.13413736916","7598.58850824824","3103.85105276377","1719.17774426215","1.12474611","1.12474611","1.12474611","1.12474611"
2039,"1.93503092236875","77.66955147","84.12464998","103.828967856404","1.12474611","8384.13413736916","7598.58850824824","3103.85105276377","1719.17774426215","1.12474611","1.12474611","1.12474611","1.12474611"
2040,"1.93509161738719","77.92863184","84.39328382","103.834157662996","1.12474611","8172.18662992561","7459.96551139217","3046.96861148885","1676.15551744559","1.12474611","1.12474611","1.12474611","1.12474611"
2041,"1.93515231240562","78.18660258","84.66006936","103.83903982339","1.14869835","8172.18662992561","7459.96551139217","3046.96861148885","1676.15551744559","1.14869835","1.14869835","1.14869835","1.14869835"
2042,"1.93521300742406","78.4437641","84.92533777","103.843683312919","1.14869835","8172.18662992561","7459.96551139217","3046.96861148885","1676.15551744559","1.14869835","1.14869835","1.14869835","1.14869835"
2043,"1.9352737024425","78.69991667","85.18888071","103.848023493078","1.14869835","8172.18662992561","7459.96551139217","3046.96861148885","1676.15551744559","1.14869835","1.14869835","1.14869835","1.14869835"
2044,"1.93533439746094","78.95523401","85.4508917","103.852010136041","1.14869835","8172.18662992561","7459.96551139217","3046.96861148885","1676.15551744559","1.14869835","1.14869835","1.14869835","1.14869835"
2045,"1.93539509247937","79.20961463","85.71126261","103.855656872119","1.14869835","7894.72910436156","7290.3314005635","2992.96413119954","1654.65124952567","1.14869835","1.14869835","1.14869835","1.14869835"
2046,"1.93545578749781","79.46316213","85.97011904","103.859024721212","1.14869835","7894.72910436156","7290.3314005635","2992.96413119954","1654.65124952567","1.14869835","1.14869835","1.14869835","1.14869835"
2047,"1.93551648251625","79.71582716","86.22741076","103.862195609409","1.14869835","7894.72910436156","7290.3314005635","2992.96413119954","1654.65124952567","1.14869835","1.14869835","1.14869835","1.14869835"
2048,"1.93557717753469","79.96768448","86.48321784","103.865236600523","1.14869835","7894.72910436156","7290.3314005635","2992.96413119954","1654.65124952567","1.14869835","1.14869835","1.14869835","1.14869835"
2049,"1.93563787255312","80.21870682","86.73753384","103.86820559753","1.14869835","7894.72910436156","7290.3314005635","2992.96413119954","1654.65124952567","1.14869835","1.14869835","1.14869835","1.14869835"
2050,"1.93569856757156","80.46895692","86.99041873","103.871141577156","1.14869835","7592.26262097539","7076.81677612743","2939.06836108147","1612.75266814098","1.14869835","1.14869835","1.14869835","1.14869835"
2051,"1.93575926259","80.71843569","87.24188375","103.874065116334","1.14869835","7592.26262097539","7076.81677612743","2939.06836108147","1612.75266814098","1.14869835","1.14869835","1.14869835","1.14869835"
2052,"1.93581995760844","80.96718549","87.49197936","103.876970201039","1.14869835","7592.26262097539","7076.81677612743","2939.06836108147","1612.75266814098","1.14869835","1.14869835","1.14869835","1.14869835"
2053,"1.93588065262687","81.2152273","87.7407339","103.879492815087","1.14869835","7592.26262097539","7076.81677612743","2939.06836108147","1612.75266814098","1.14869835","1.14869835","1.14869835","1.14869835"
2054,"1.93594134764531","81.46259775","87.98818977","103.882017339204","1.14869835","7592.26262097539","7076.81677612743","2939.06836108147","1612.75266814098","1.14869835","1.14869835","1.14869835","1.14869835"
2055,"1.93600204266375","81.7093283","88.2343913","103.884596155517","1.14869835","7257.01012981368","6819.45476098354","2882.91074597467","1559.1874300796","1.14869835","1.14869835","1.14869835","1.14869835"
2056,"1.93606273768219","81.95545289","88.47938039","103.88720950834","1.14869835","7257.01012981368","6819.45476098354","2882.91074597467","1559.1874300796","1.14869835","1.14869835","1.14869835","1.14869835"
2057,"1.93612343270062","82.20101237","88.72319151","103.889831354635","1.14869835","7257.01012981368","6819.45476098354","2882.91074597467","1559.1874300796","1.14869835","1.14869835","1.14869835","1.14869835"
2058,"1.93618412771906","82.44604177","88.96587691","103.892441346078","1.14869835","7257.01012981368","6819.45476098354","2882.91074597467","1559.1874300796","1.14869835","1.14869835","1.14869835","1.14869835"
2059,"1.9362448227375","82.69057909","89.20747825","103.895024905422","1.14869835","7257.01012981368","6819.45476098354","2882.91074597467","1559.1874300796","1.14869835","1.14869835","1.14869835","1.14869835"
2060,"1.93630551775594","82.93466123","89.44803605","103.89757262671","1.14869835","6910.6461142115","6540.84942503322","2816.86662761838","1493.68511209211","1.14869835","1.14869835","1.14869835","1.14869835"
2061,"1.93636621277437","83.17832594","89.68758746","103.900079549187","1.14869835","6910.6461142115","6540.84942503322","2816.86662761838","1493.68511209211","1.14869835","1.14869835","1.14869835","1.14869835"
2062,"1.93642690779281","83.4216106","89.92618654","103.902543943196","1.14869835","6910.6461142115","6540.84942503322","2816.86662761838","1493.68511209211","1.14869835","1.14869835","1.14869835","1.14869835"
2063,"1.93648760281125","83.66454464","90.16385959","103.904966491016","1.14869835","6910.6461142115","6540.84942503322","2816.86662761838","1493.68511209211","1.14869835","1.14869835","1.14869835","1.14869835"
