"Origin","Destination","Race","Sex","Age","Internal.migration.rate"
"HGO","AGS","Total","f",0,0.000306287469167061
"HGO","AGS","Total","f",1,0.000306287469167061
"HGO","AGS","Total","f",2,0.000306287469167061
"HGO","AGS","Total","f",3,0.000306287469167061
"HGO","AGS","Total","f",4,0.000306287469167061
"HGO","AGS","Total","f",5,0.000207935868950327
"HGO","AGS","Total","f",6,0.000207935868950327
"HGO","AGS","Total","f",7,0.000207935868950327
"HGO","AGS","Total","f",8,0.000207935868950327
"HGO","AGS","Total","f",9,0.000207935868950327
"HGO","AGS","Total","f",10,0.000163364653011476
"HGO","AGS","Total","f",11,0.000163364653011476
"HGO","AGS","Total","f",12,0.000163364653011476
"HGO","AGS","Total","f",13,0.000163364653011476
"HGO","AGS","Total","f",14,0.000163364653011476
"HGO","AGS","Total","f",15,0.000213464931401264
"HGO","AGS","Total","f",16,0.000213464931401264
"HGO","AGS","Total","f",17,0.000213464931401264
"HGO","AGS","Total","f",18,0.000213464931401264
"HGO","AGS","Total","f",19,0.000213464931401264
"HGO","AGS","Total","f",20,0.000254207298312794
"HGO","AGS","Total","f",21,0.000254207298312794
"HGO","AGS","Total","f",22,0.000254207298312794
"HGO","AGS","Total","f",23,0.000254207298312794
"HGO","AGS","Total","f",24,0.000254207298312794
"HGO","AGS","Total","f",25,0.000336878385946145
"HGO","AGS","Total","f",26,0.000336878385946145
"HGO","AGS","Total","f",27,0.000336878385946145
"HGO","AGS","Total","f",28,0.000336878385946145
"HGO","AGS","Total","f",29,0.000336878385946145
"HGO","AGS","Total","f",30,0.000344243979784894
"HGO","AGS","Total","f",31,0.000344243979784894
"HGO","AGS","Total","f",32,0.000344243979784894
"HGO","AGS","Total","f",33,0.000344243979784894
"HGO","AGS","Total","f",34,0.000344243979784894
"HGO","AGS","Total","f",35,0.00038850694580889
"HGO","AGS","Total","f",36,0.00038850694580889
"HGO","AGS","Total","f",37,0.00038850694580889
"HGO","AGS","Total","f",38,0.00038850694580889
"HGO","AGS","Total","f",39,0.00038850694580889
"HGO","AGS","Total","f",40,0.000295886578170937
"HGO","AGS","Total","f",41,0.000295886578170937
"HGO","AGS","Total","f",42,0.000295886578170937
"HGO","AGS","Total","f",43,0.000295886578170937
"HGO","AGS","Total","f",44,0.000295886578170937
"HGO","AGS","Total","f",45,0.000236913394503564
"HGO","AGS","Total","f",46,0.000236913394503564
"HGO","AGS","Total","f",47,0.000236913394503564
"HGO","AGS","Total","f",48,0.000236913394503564
"HGO","AGS","Total","f",49,0.000236913394503564
"HGO","AGS","Total","f",50,0.000156046950065658
"HGO","AGS","Total","f",51,0.000156046950065658
"HGO","AGS","Total","f",52,0.000156046950065658
"HGO","AGS","Total","f",53,0.000156046950065658
"HGO","AGS","Total","f",54,0.000156046950065658
"HGO","AGS","Total","f",55,0.000158694432183525
"HGO","AGS","Total","f",56,0.000158694432183525
"HGO","AGS","Total","f",57,0.000158694432183525
"HGO","AGS","Total","f",58,0.000158694432183525
"HGO","AGS","Total","f",59,0.000158694432183525
"HGO","AGS","Total","f",60,0.000125442005594487
"HGO","AGS","Total","f",61,0.000125442005594487
"HGO","AGS","Total","f",62,0.000125442005594487
"HGO","AGS","Total","f",63,0.000125442005594487
"HGO","AGS","Total","f",64,0.000125442005594487
"HGO","AGS","Total","f",65,0.000110171550041535
"HGO","AGS","Total","f",66,0.000110171550041535
"HGO","AGS","Total","f",67,0.000110171550041535
"HGO","AGS","Total","f",68,0.000110171550041535
"HGO","AGS","Total","f",69,0.000110171550041535
"HGO","AGS","Total","f",70,8.59165486311573e-05
"HGO","AGS","Total","f",71,8.59165486311573e-05
"HGO","AGS","Total","f",72,8.59165486311573e-05
"HGO","AGS","Total","f",73,8.59165486311573e-05
"HGO","AGS","Total","f",74,8.59165486311573e-05
"HGO","AGS","Total","f",75,6.08174070218003e-05
"HGO","AGS","Total","f",76,6.08174070218003e-05
"HGO","AGS","Total","f",77,6.08174070218003e-05
"HGO","AGS","Total","f",78,6.08174070218003e-05
"HGO","AGS","Total","f",79,6.08174070218003e-05
"HGO","AGS","Total","f",80,1.6514731140177e-05
"HGO","AGS","Total","f",81,1.6514731140177e-05
"HGO","AGS","Total","f",82,1.6514731140177e-05
"HGO","AGS","Total","f",83,1.6514731140177e-05
"HGO","AGS","Total","f",84,1.6514731140177e-05
"HGO","AGS","Total","f",85,0
"HGO","AGS","Total","f",86,0
"HGO","AGS","Total","f",87,0
"HGO","AGS","Total","f",88,0
"HGO","AGS","Total","f",89,0
"HGO","AGS","Total","f",90,0
"HGO","AGS","Total","f",91,0
"HGO","AGS","Total","f",92,0
"HGO","AGS","Total","f",93,0
"HGO","AGS","Total","f",94,0
"HGO","AGS","Total","f",95,0
"HGO","AGS","Total","f",96,0
"HGO","AGS","Total","f",97,0
"HGO","AGS","Total","f",98,0
"HGO","AGS","Total","f",99,0
"HGO","AGS","Total","f",100,0
"HGO","AGS","Total","m",0,0.000195940434108031
"HGO","AGS","Total","m",1,0.000195940434108031
"HGO","AGS","Total","m",2,0.000195940434108031
"HGO","AGS","Total","m",3,0.000195940434108031
"HGO","AGS","Total","m",4,0.000195940434108031
"HGO","AGS","Total","m",5,0.000195756872838541
"HGO","AGS","Total","m",6,0.000195756872838541
"HGO","AGS","Total","m",7,0.000195756872838541
"HGO","AGS","Total","m",8,0.000195756872838541
"HGO","AGS","Total","m",9,0.000195756872838541
"HGO","AGS","Total","m",10,0.00020279866995685
"HGO","AGS","Total","m",11,0.00020279866995685
"HGO","AGS","Total","m",12,0.00020279866995685
"HGO","AGS","Total","m",13,0.00020279866995685
"HGO","AGS","Total","m",14,0.00020279866995685
"HGO","AGS","Total","m",15,0.000323901273752301
"HGO","AGS","Total","m",16,0.000323901273752301
"HGO","AGS","Total","m",17,0.000323901273752301
"HGO","AGS","Total","m",18,0.000323901273752301
"HGO","AGS","Total","m",19,0.000323901273752301
"HGO","AGS","Total","m",20,0.000413965307121941
"HGO","AGS","Total","m",21,0.000413965307121941
"HGO","AGS","Total","m",22,0.000413965307121941
"HGO","AGS","Total","m",23,0.000413965307121941
"HGO","AGS","Total","m",24,0.000413965307121941
"HGO","AGS","Total","m",25,0.000466159206800789
"HGO","AGS","Total","m",26,0.000466159206800789
"HGO","AGS","Total","m",27,0.000466159206800789
"HGO","AGS","Total","m",28,0.000466159206800789
"HGO","AGS","Total","m",29,0.000466159206800789
"HGO","AGS","Total","m",30,0.000362749795071965
"HGO","AGS","Total","m",31,0.000362749795071965
"HGO","AGS","Total","m",32,0.000362749795071965
"HGO","AGS","Total","m",33,0.000362749795071965
"HGO","AGS","Total","m",34,0.000362749795071965
"HGO","AGS","Total","m",35,0.000339660240753828
"HGO","AGS","Total","m",36,0.000339660240753828
"HGO","AGS","Total","m",37,0.000339660240753828
"HGO","AGS","Total","m",38,0.000339660240753828
"HGO","AGS","Total","m",39,0.000339660240753828
"HGO","AGS","Total","m",40,0.000304173034336885
"HGO","AGS","Total","m",41,0.000304173034336885
"HGO","AGS","Total","m",42,0.000304173034336885
"HGO","AGS","Total","m",43,0.000304173034336885
"HGO","AGS","Total","m",44,0.000304173034336885
"HGO","AGS","Total","m",45,0.00027922475697326
"HGO","AGS","Total","m",46,0.00027922475697326
"HGO","AGS","Total","m",47,0.00027922475697326
"HGO","AGS","Total","m",48,0.00027922475697326
"HGO","AGS","Total","m",49,0.00027922475697326
"HGO","AGS","Total","m",50,0.000178524923528572
"HGO","AGS","Total","m",51,0.000178524923528572
"HGO","AGS","Total","m",52,0.000178524923528572
"HGO","AGS","Total","m",53,0.000178524923528572
"HGO","AGS","Total","m",54,0.000178524923528572
"HGO","AGS","Total","m",55,0.000144928515453547
"HGO","AGS","Total","m",56,0.000144928515453547
"HGO","AGS","Total","m",57,0.000144928515453547
"HGO","AGS","Total","m",58,0.000144928515453547
"HGO","AGS","Total","m",59,0.000144928515453547
"HGO","AGS","Total","m",60,9.61314755415198e-05
"HGO","AGS","Total","m",61,9.61314755415198e-05
"HGO","AGS","Total","m",62,9.61314755415198e-05
"HGO","AGS","Total","m",63,9.61314755415198e-05
"HGO","AGS","Total","m",64,9.61314755415198e-05
"HGO","AGS","Total","m",65,9.07503941251363e-05
"HGO","AGS","Total","m",66,9.07503941251363e-05
"HGO","AGS","Total","m",67,9.07503941251363e-05
"HGO","AGS","Total","m",68,9.07503941251363e-05
"HGO","AGS","Total","m",69,9.07503941251363e-05
"HGO","AGS","Total","m",70,5.29590137157383e-05
"HGO","AGS","Total","m",71,5.29590137157383e-05
"HGO","AGS","Total","m",72,5.29590137157383e-05
"HGO","AGS","Total","m",73,5.29590137157383e-05
"HGO","AGS","Total","m",74,5.29590137157383e-05
"HGO","AGS","Total","m",75,7.32914888095443e-05
"HGO","AGS","Total","m",76,7.32914888095443e-05
"HGO","AGS","Total","m",77,7.32914888095443e-05
"HGO","AGS","Total","m",78,7.32914888095443e-05
"HGO","AGS","Total","m",79,7.32914888095443e-05
"HGO","AGS","Total","m",80,4.81475397008973e-05
"HGO","AGS","Total","m",81,4.81475397008973e-05
"HGO","AGS","Total","m",82,4.81475397008973e-05
"HGO","AGS","Total","m",83,4.81475397008973e-05
"HGO","AGS","Total","m",84,4.81475397008973e-05
"HGO","AGS","Total","m",85,3.000300030003e-05
"HGO","AGS","Total","m",86,3.000300030003e-05
"HGO","AGS","Total","m",87,3.000300030003e-05
"HGO","AGS","Total","m",88,3.000300030003e-05
"HGO","AGS","Total","m",89,3.000300030003e-05
"HGO","AGS","Total","m",90,0
"HGO","AGS","Total","m",91,0
"HGO","AGS","Total","m",92,0
"HGO","AGS","Total","m",93,0
"HGO","AGS","Total","m",94,0
"HGO","AGS","Total","m",95,0
"HGO","AGS","Total","m",96,0
"HGO","AGS","Total","m",97,0
"HGO","AGS","Total","m",98,0
"HGO","AGS","Total","m",99,0
"HGO","AGS","Total","m",100,0
"HGO","BC","Total","f",0,0.000571736609111848
"HGO","BC","Total","f",1,0.000571736609111848
"HGO","BC","Total","f",2,0.000571736609111848
"HGO","BC","Total","f",3,0.000571736609111848
"HGO","BC","Total","f",4,0.000571736609111848
"HGO","BC","Total","f",5,0.000619274735931796
"HGO","BC","Total","f",6,0.000619274735931796
"HGO","BC","Total","f",7,0.000619274735931796
"HGO","BC","Total","f",8,0.000619274735931796
"HGO","BC","Total","f",9,0.000619274735931796
"HGO","BC","Total","f",10,0.000486545450825058
"HGO","BC","Total","f",11,0.000486545450825058
"HGO","BC","Total","f",12,0.000486545450825058
"HGO","BC","Total","f",13,0.000486545450825058
"HGO","BC","Total","f",14,0.000486545450825058
"HGO","BC","Total","f",15,0.000419383087067978
"HGO","BC","Total","f",16,0.000419383087067978
"HGO","BC","Total","f",17,0.000419383087067978
"HGO","BC","Total","f",18,0.000419383087067978
"HGO","BC","Total","f",19,0.000419383087067978
"HGO","BC","Total","f",20,0.000531879517324579
"HGO","BC","Total","f",21,0.000531879517324579
"HGO","BC","Total","f",22,0.000531879517324579
"HGO","BC","Total","f",23,0.000531879517324579
"HGO","BC","Total","f",24,0.000531879517324579
"HGO","BC","Total","f",25,0.000553937165835676
"HGO","BC","Total","f",26,0.000553937165835676
"HGO","BC","Total","f",27,0.000553937165835676
"HGO","BC","Total","f",28,0.000553937165835676
"HGO","BC","Total","f",29,0.000553937165835676
"HGO","BC","Total","f",30,0.000658608689431416
"HGO","BC","Total","f",31,0.000658608689431416
"HGO","BC","Total","f",32,0.000658608689431416
"HGO","BC","Total","f",33,0.000658608689431416
"HGO","BC","Total","f",34,0.000658608689431416
"HGO","BC","Total","f",35,0.000668734577352655
"HGO","BC","Total","f",36,0.000668734577352655
"HGO","BC","Total","f",37,0.000668734577352655
"HGO","BC","Total","f",38,0.000668734577352655
"HGO","BC","Total","f",39,0.000668734577352655
"HGO","BC","Total","f",40,0.000667550429349275
"HGO","BC","Total","f",41,0.000667550429349275
"HGO","BC","Total","f",42,0.000667550429349275
"HGO","BC","Total","f",43,0.000667550429349275
"HGO","BC","Total","f",44,0.000667550429349275
"HGO","BC","Total","f",45,0.000494662129062238
"HGO","BC","Total","f",46,0.000494662129062238
"HGO","BC","Total","f",47,0.000494662129062238
"HGO","BC","Total","f",48,0.000494662129062238
"HGO","BC","Total","f",49,0.000494662129062238
"HGO","BC","Total","f",50,0.000355663427945723
"HGO","BC","Total","f",51,0.000355663427945723
"HGO","BC","Total","f",52,0.000355663427945723
"HGO","BC","Total","f",53,0.000355663427945723
"HGO","BC","Total","f",54,0.000355663427945723
"HGO","BC","Total","f",55,0.000316535432721165
"HGO","BC","Total","f",56,0.000316535432721165
"HGO","BC","Total","f",57,0.000316535432721165
"HGO","BC","Total","f",58,0.000316535432721165
"HGO","BC","Total","f",59,0.000316535432721165
"HGO","BC","Total","f",60,0.000375587172034665
"HGO","BC","Total","f",61,0.000375587172034665
"HGO","BC","Total","f",62,0.000375587172034665
"HGO","BC","Total","f",63,0.000375587172034665
"HGO","BC","Total","f",64,0.000375587172034665
"HGO","BC","Total","f",65,0.000454948283785674
"HGO","BC","Total","f",66,0.000454948283785674
"HGO","BC","Total","f",67,0.000454948283785674
"HGO","BC","Total","f",68,0.000454948283785674
"HGO","BC","Total","f",69,0.000454948283785674
"HGO","BC","Total","f",70,0.000419082876969996
"HGO","BC","Total","f",71,0.000419082876969996
"HGO","BC","Total","f",72,0.000419082876969996
"HGO","BC","Total","f",73,0.000419082876969996
"HGO","BC","Total","f",74,0.000419082876969996
"HGO","BC","Total","f",75,0.000374137873765137
"HGO","BC","Total","f",76,0.000374137873765137
"HGO","BC","Total","f",77,0.000374137873765137
"HGO","BC","Total","f",78,0.000374137873765137
"HGO","BC","Total","f",79,0.000374137873765137
"HGO","BC","Total","f",80,0.000519803987006193
"HGO","BC","Total","f",81,0.000519803987006193
"HGO","BC","Total","f",82,0.000519803987006193
"HGO","BC","Total","f",83,0.000519803987006193
"HGO","BC","Total","f",84,0.000519803987006193
"HGO","BC","Total","f",85,0.000453745062445485
"HGO","BC","Total","f",86,0.000453745062445485
"HGO","BC","Total","f",87,0.000453745062445485
"HGO","BC","Total","f",88,0.000453745062445485
"HGO","BC","Total","f",89,0.000453745062445485
"HGO","BC","Total","f",90,0.000229697484983955
"HGO","BC","Total","f",91,0.000229697484983955
"HGO","BC","Total","f",92,0.000229697484983955
"HGO","BC","Total","f",93,0.000229697484983955
"HGO","BC","Total","f",94,0.000229697484983955
"HGO","BC","Total","f",95,0
"HGO","BC","Total","f",96,0
"HGO","BC","Total","f",97,0
"HGO","BC","Total","f",98,0
"HGO","BC","Total","f",99,0
"HGO","BC","Total","f",100,0
"HGO","BC","Total","m",0,0.000515843183672164
"HGO","BC","Total","m",1,0.000515843183672164
"HGO","BC","Total","m",2,0.000515843183672164
"HGO","BC","Total","m",3,0.000515843183672164
"HGO","BC","Total","m",4,0.000515843183672164
"HGO","BC","Total","m",5,0.000597995216274667
"HGO","BC","Total","m",6,0.000597995216274667
"HGO","BC","Total","m",7,0.000597995216274667
"HGO","BC","Total","m",8,0.000597995216274667
"HGO","BC","Total","m",9,0.000597995216274667
"HGO","BC","Total","m",10,0.000504130876455474
"HGO","BC","Total","m",11,0.000504130876455474
"HGO","BC","Total","m",12,0.000504130876455474
"HGO","BC","Total","m",13,0.000504130876455474
"HGO","BC","Total","m",14,0.000504130876455474
"HGO","BC","Total","m",15,0.000477752346591839
"HGO","BC","Total","m",16,0.000477752346591839
"HGO","BC","Total","m",17,0.000477752346591839
"HGO","BC","Total","m",18,0.000477752346591839
"HGO","BC","Total","m",19,0.000477752346591839
"HGO","BC","Total","m",20,0.000615477424450505
"HGO","BC","Total","m",21,0.000615477424450505
"HGO","BC","Total","m",22,0.000615477424450505
"HGO","BC","Total","m",23,0.000615477424450505
"HGO","BC","Total","m",24,0.000615477424450505
"HGO","BC","Total","m",25,0.000817901326515415
"HGO","BC","Total","m",26,0.000817901326515415
"HGO","BC","Total","m",27,0.000817901326515415
"HGO","BC","Total","m",28,0.000817901326515415
"HGO","BC","Total","m",29,0.000817901326515415
"HGO","BC","Total","m",30,0.000851657728493648
"HGO","BC","Total","m",31,0.000851657728493648
"HGO","BC","Total","m",32,0.000851657728493648
"HGO","BC","Total","m",33,0.000851657728493648
"HGO","BC","Total","m",34,0.000851657728493648
"HGO","BC","Total","m",35,0.000654742737483445
"HGO","BC","Total","m",36,0.000654742737483445
"HGO","BC","Total","m",37,0.000654742737483445
"HGO","BC","Total","m",38,0.000654742737483445
"HGO","BC","Total","m",39,0.000654742737483445
"HGO","BC","Total","m",40,0.000550817774245282
"HGO","BC","Total","m",41,0.000550817774245282
"HGO","BC","Total","m",42,0.000550817774245282
"HGO","BC","Total","m",43,0.000550817774245282
"HGO","BC","Total","m",44,0.000550817774245282
"HGO","BC","Total","m",45,0.000464818144276072
"HGO","BC","Total","m",46,0.000464818144276072
"HGO","BC","Total","m",47,0.000464818144276072
"HGO","BC","Total","m",48,0.000464818144276072
"HGO","BC","Total","m",49,0.000464818144276072
"HGO","BC","Total","m",50,0.000400748347461421
"HGO","BC","Total","m",51,0.000400748347461421
"HGO","BC","Total","m",52,0.000400748347461421
"HGO","BC","Total","m",53,0.000400748347461421
"HGO","BC","Total","m",54,0.000400748347461421
"HGO","BC","Total","m",55,0.000250764270159125
"HGO","BC","Total","m",56,0.000250764270159125
"HGO","BC","Total","m",57,0.000250764270159125
"HGO","BC","Total","m",58,0.000250764270159125
"HGO","BC","Total","m",59,0.000250764270159125
"HGO","BC","Total","m",60,0.000218279580271743
"HGO","BC","Total","m",61,0.000218279580271743
"HGO","BC","Total","m",62,0.000218279580271743
"HGO","BC","Total","m",63,0.000218279580271743
"HGO","BC","Total","m",64,0.000218279580271743
"HGO","BC","Total","m",65,0.000176268462225323
"HGO","BC","Total","m",66,0.000176268462225323
"HGO","BC","Total","m",67,0.000176268462225323
"HGO","BC","Total","m",68,0.000176268462225323
"HGO","BC","Total","m",69,0.000176268462225323
"HGO","BC","Total","m",70,0.00020409788398058
"HGO","BC","Total","m",71,0.00020409788398058
"HGO","BC","Total","m",72,0.00020409788398058
"HGO","BC","Total","m",73,0.00020409788398058
"HGO","BC","Total","m",74,0.00020409788398058
"HGO","BC","Total","m",75,0.000157728107312176
"HGO","BC","Total","m",76,0.000157728107312176
"HGO","BC","Total","m",77,0.000157728107312176
"HGO","BC","Total","m",78,0.000157728107312176
"HGO","BC","Total","m",79,0.000157728107312176
"HGO","BC","Total","m",80,0.000132584158203529
"HGO","BC","Total","m",81,0.000132584158203529
"HGO","BC","Total","m",82,0.000132584158203529
"HGO","BC","Total","m",83,0.000132584158203529
"HGO","BC","Total","m",84,0.000132584158203529
"HGO","BC","Total","m",85,6.000600060006e-05
"HGO","BC","Total","m",86,6.000600060006e-05
"HGO","BC","Total","m",87,6.000600060006e-05
"HGO","BC","Total","m",88,6.000600060006e-05
"HGO","BC","Total","m",89,6.000600060006e-05
"HGO","BC","Total","m",90,0
"HGO","BC","Total","m",91,0
"HGO","BC","Total","m",92,0
"HGO","BC","Total","m",93,0
"HGO","BC","Total","m",94,0
"HGO","BC","Total","m",95,0
"HGO","BC","Total","m",96,0
"HGO","BC","Total","m",97,0
"HGO","BC","Total","m",98,0
"HGO","BC","Total","m",99,0
"HGO","BC","Total","m",100,0
"HGO","BCS","Total","f",0,0.000350719184797668
"HGO","BCS","Total","f",1,0.000350719184797668
"HGO","BCS","Total","f",2,0.000350719184797668
"HGO","BCS","Total","f",3,0.000350719184797668
"HGO","BCS","Total","f",4,0.000350719184797668
"HGO","BCS","Total","f",5,0.000227198902530964
"HGO","BCS","Total","f",6,0.000227198902530964
"HGO","BCS","Total","f",7,0.000227198902530964
"HGO","BCS","Total","f",8,0.000227198902530964
"HGO","BCS","Total","f",9,0.000227198902530964
"HGO","BCS","Total","f",10,0.000186391624247546
"HGO","BCS","Total","f",11,0.000186391624247546
"HGO","BCS","Total","f",12,0.000186391624247546
"HGO","BCS","Total","f",13,0.000186391624247546
"HGO","BCS","Total","f",14,0.000186391624247546
"HGO","BCS","Total","f",15,0.000276112741732306
"HGO","BCS","Total","f",16,0.000276112741732306
"HGO","BCS","Total","f",17,0.000276112741732306
"HGO","BCS","Total","f",18,0.000276112741732306
"HGO","BCS","Total","f",19,0.000276112741732306
"HGO","BCS","Total","f",20,0.000350719184797668
"HGO","BCS","Total","f",21,0.000350719184797668
"HGO","BCS","Total","f",22,0.000350719184797668
"HGO","BCS","Total","f",23,0.000350719184797668
"HGO","BCS","Total","f",24,0.000350719184797668
"HGO","BCS","Total","f",25,0.000346239708053904
"HGO","BCS","Total","f",26,0.000346239708053904
"HGO","BCS","Total","f",27,0.000346239708053904
"HGO","BCS","Total","f",28,0.000346239708053904
"HGO","BCS","Total","f",29,0.000346239708053904
"HGO","BCS","Total","f",30,0.000245102704444112
"HGO","BCS","Total","f",31,0.000245102704444112
"HGO","BCS","Total","f",32,0.000245102704444112
"HGO","BCS","Total","f",33,0.000245102704444112
"HGO","BCS","Total","f",34,0.000245102704444112
"HGO","BCS","Total","f",35,0.000189320551262039
"HGO","BCS","Total","f",36,0.000189320551262039
"HGO","BCS","Total","f",37,0.000189320551262039
"HGO","BCS","Total","f",38,0.000189320551262039
"HGO","BCS","Total","f",39,0.000189320551262039
"HGO","BCS","Total","f",40,0.000162291887535899
"HGO","BCS","Total","f",41,0.000162291887535899
"HGO","BCS","Total","f",42,0.000162291887535899
"HGO","BCS","Total","f",43,0.000162291887535899
"HGO","BCS","Total","f",44,0.000162291887535899
"HGO","BCS","Total","f",45,0.000138138238968838
"HGO","BCS","Total","f",46,0.000138138238968838
"HGO","BCS","Total","f",47,0.000138138238968838
"HGO","BCS","Total","f",48,0.000138138238968838
"HGO","BCS","Total","f",49,0.000138138238968838
"HGO","BCS","Total","f",50,8.7357477239129e-05
"HGO","BCS","Total","f",51,8.7357477239129e-05
"HGO","BCS","Total","f",52,8.7357477239129e-05
"HGO","BCS","Total","f",53,8.7357477239129e-05
"HGO","BCS","Total","f",54,8.7357477239129e-05
"HGO","BCS","Total","f",55,9.29876897388196e-05
"HGO","BCS","Total","f",56,9.29876897388196e-05
"HGO","BCS","Total","f",57,9.29876897388196e-05
"HGO","BCS","Total","f",58,9.29876897388196e-05
"HGO","BCS","Total","f",59,9.29876897388196e-05
"HGO","BCS","Total","f",60,8.05446667125266e-05
"HGO","BCS","Total","f",61,8.05446667125266e-05
"HGO","BCS","Total","f",62,8.05446667125266e-05
"HGO","BCS","Total","f",63,8.05446667125266e-05
"HGO","BCS","Total","f",64,8.05446667125266e-05
"HGO","BCS","Total","f",65,7.53731180189573e-05
"HGO","BCS","Total","f",66,7.53731180189573e-05
"HGO","BCS","Total","f",67,7.53731180189573e-05
"HGO","BCS","Total","f",68,7.53731180189573e-05
"HGO","BCS","Total","f",69,7.53731180189573e-05
"HGO","BCS","Total","f",70,2.78084300433104e-05
"HGO","BCS","Total","f",71,2.78084300433104e-05
"HGO","BCS","Total","f",72,2.78084300433104e-05
"HGO","BCS","Total","f",73,2.78084300433104e-05
"HGO","BCS","Total","f",74,2.78084300433104e-05
"HGO","BCS","Total","f",75,1.10756689704058e-05
"HGO","BCS","Total","f",76,1.10756689704058e-05
"HGO","BCS","Total","f",77,1.10756689704058e-05
"HGO","BCS","Total","f",78,1.10756689704058e-05
"HGO","BCS","Total","f",79,1.10756689704058e-05
"HGO","BCS","Total","f",80,0
"HGO","BCS","Total","f",81,0
"HGO","BCS","Total","f",82,0
"HGO","BCS","Total","f",83,0
"HGO","BCS","Total","f",84,0
"HGO","BCS","Total","f",85,0
"HGO","BCS","Total","f",86,0
"HGO","BCS","Total","f",87,0
"HGO","BCS","Total","f",88,0
"HGO","BCS","Total","f",89,0
"HGO","BCS","Total","f",90,0
"HGO","BCS","Total","f",91,0
"HGO","BCS","Total","f",92,0
"HGO","BCS","Total","f",93,0
"HGO","BCS","Total","f",94,0
"HGO","BCS","Total","f",95,0
"HGO","BCS","Total","f",96,0
"HGO","BCS","Total","f",97,0
"HGO","BCS","Total","f",98,0
"HGO","BCS","Total","f",99,0
"HGO","BCS","Total","f",100,0
"HGO","BCS","Total","m",0,0.000211935571586238
"HGO","BCS","Total","m",1,0.000211935571586238
"HGO","BCS","Total","m",2,0.000211935571586238
"HGO","BCS","Total","m",3,0.000211935571586238
"HGO","BCS","Total","m",4,0.000211935571586238
"HGO","BCS","Total","m",5,0.000185971089894298
"HGO","BCS","Total","m",6,0.000185971089894298
"HGO","BCS","Total","m",7,0.000185971089894298
"HGO","BCS","Total","m",8,0.000185971089894298
"HGO","BCS","Total","m",9,0.000185971089894298
"HGO","BCS","Total","m",10,0.000200937647833963
"HGO","BCS","Total","m",11,0.000200937647833963
"HGO","BCS","Total","m",12,0.000200937647833963
"HGO","BCS","Total","m",13,0.000200937647833963
"HGO","BCS","Total","m",14,0.000200937647833963
"HGO","BCS","Total","m",15,0.000298375158752621
"HGO","BCS","Total","m",16,0.000298375158752621
"HGO","BCS","Total","m",17,0.000298375158752621
"HGO","BCS","Total","m",18,0.000298375158752621
"HGO","BCS","Total","m",19,0.000298375158752621
"HGO","BCS","Total","m",20,0.000329557945430026
"HGO","BCS","Total","m",21,0.000329557945430026
"HGO","BCS","Total","m",22,0.000329557945430026
"HGO","BCS","Total","m",23,0.000329557945430026
"HGO","BCS","Total","m",24,0.000329557945430026
"HGO","BCS","Total","m",25,0.000360043406739036
"HGO","BCS","Total","m",26,0.000360043406739036
"HGO","BCS","Total","m",27,0.000360043406739036
"HGO","BCS","Total","m",28,0.000360043406739036
"HGO","BCS","Total","m",29,0.000360043406739036
"HGO","BCS","Total","m",30,0.000310298731651685
"HGO","BCS","Total","m",31,0.000310298731651685
"HGO","BCS","Total","m",32,0.000310298731651685
"HGO","BCS","Total","m",33,0.000310298731651685
"HGO","BCS","Total","m",34,0.000310298731651685
"HGO","BCS","Total","m",35,0.000280025276124465
"HGO","BCS","Total","m",36,0.000280025276124465
"HGO","BCS","Total","m",37,0.000280025276124465
"HGO","BCS","Total","m",38,0.000280025276124465
"HGO","BCS","Total","m",39,0.000280025276124465
"HGO","BCS","Total","m",40,0.000255417574416829
"HGO","BCS","Total","m",41,0.000255417574416829
"HGO","BCS","Total","m",42,0.000255417574416829
"HGO","BCS","Total","m",43,0.000255417574416829
"HGO","BCS","Total","m",44,0.000255417574416829
"HGO","BCS","Total","m",45,0.000185482890120647
"HGO","BCS","Total","m",46,0.000185482890120647
"HGO","BCS","Total","m",47,0.000185482890120647
"HGO","BCS","Total","m",48,0.000185482890120647
"HGO","BCS","Total","m",49,0.000185482890120647
"HGO","BCS","Total","m",50,0.000118778982483454
"HGO","BCS","Total","m",51,0.000118778982483454
"HGO","BCS","Total","m",52,0.000118778982483454
"HGO","BCS","Total","m",53,0.000118778982483454
"HGO","BCS","Total","m",54,0.000118778982483454
"HGO","BCS","Total","m",55,6.50508717050622e-05
"HGO","BCS","Total","m",56,6.50508717050622e-05
"HGO","BCS","Total","m",57,6.50508717050622e-05
"HGO","BCS","Total","m",58,6.50508717050622e-05
"HGO","BCS","Total","m",59,6.50508717050622e-05
"HGO","BCS","Total","m",60,5.03599114453484e-05
"HGO","BCS","Total","m",61,5.03599114453484e-05
"HGO","BCS","Total","m",62,5.03599114453484e-05
"HGO","BCS","Total","m",63,5.03599114453484e-05
"HGO","BCS","Total","m",64,5.03599114453484e-05
"HGO","BCS","Total","m",65,5.71888422389771e-05
"HGO","BCS","Total","m",66,5.71888422389771e-05
"HGO","BCS","Total","m",67,5.71888422389771e-05
"HGO","BCS","Total","m",68,5.71888422389771e-05
"HGO","BCS","Total","m",69,5.71888422389771e-05
"HGO","BCS","Total","m",70,0.000325127104728748
"HGO","BCS","Total","m",71,0.000325127104728748
